,rua,bairro,area,quartos,banheiros,vagas,preco,erro_preco
"0,""Avenida Itacira, 255 "", Planalto Paulista ,1000,4,8,6,7000000,7000.0"
"1,""Rua Aurelia Perez Alvarez, 42 "", Jardim dos Estados ,469,3,3,4,3700000,7889.1257995735605"
2,Rua Alba Valdez , Jardim Reimberg ,125,4,3,2,380000,3040.0
3,Jardim Morumbi , Jardim Morumbi ,310,3,2,4,685000,2209.6774193548385
"4,""Rua Tobias Barreto, 195 "", Mooca ,100,3,2,2,540000,5400.0"
5,Rua Graham Bell , Santo Amaro ,440,4,4,6,1980000,4500.0
"6,""Rua Francisco Paulo, 31 "", Cidade Mãe do Céu ,145,4,4,2,850000,5862.068965517241"
"7,""Rua Guilherme Valente, 150 "", Jardim Vergueiro ,150,2,2,2,450000,3000.0"
9,Rua Tapaji , Vila Alpina ,114,3,3,2,585000,5131.578947368421
"10,""Rua Vigário João Álvares, 66 "", Vila Monumento ,261,4,4,3,700000,2681.992337164751"
"12,""Rua Tuim, 449 "", Vila Uberabinha ,193,3,3,2,2500000,12953.36787564767"
"13,""Rua Antônio Pereira Mendes, 98 "", Jardim Prudência ,251,3,5,4,1700000,6772.908366533865"
"14,""Rua João Antunes Carvalho, 75 "", Lauzane Paulista ,300,4,5,4,1150000,3833.3333333333335"
"15,""Rua Rúben Dario Almonacid, 321 "","" São Paulo II, Cotia "",500,3,5,6,1999000,3998.0"
16,Rua Timbé , Jardim Santa Maria ,135,3,3,2,550000,4074.074074074074
17,Rua João Tauler , Vila Nova ,180,4,2,4,420000,2333.3333333333335
"18,""Rua Alice Garcia Vega, 345 "", Itaberaba ,300,3,5,4,2232000,7440.0"
"19,""Rua Graham Bell, 332 "", Santo Amaro ,772,7,7,6,2700000,3497.4093264248704"
"20,""Avenida Antônio Joaquim de Moura Andrade, 294 "", Vila Nova Conceição ,605,3,3,4,4190000,6925.619834710744"
"21,""Rua Marcos Fernandes, 1039 "", Jardim da Saúde ,110,3,2,5,860000,7818.181818181818"
"22,""Estrada Tenente Marques, 4900 "","" Vila Poupança, Santana de Parnaíba "",66,2,2,1,375000,5681.818181818182"
"23,""Rua José Leão dos Santos, 606 "", Jardim Santo Antônio ,250,4,4,4,650000,2600.0"
"24,""Rua Jaime Pinto Ferreira, 93 "", Vila Mazzei ,120,2,1,1,490000,4083.3333333333335"
25,Rua Aldo de Azevedo , Vila Madalena ,170,2,2,1,1485000,8735.29411764706
"26,""Rua Antônio Wey, 161 "", Jardim Ivana ,250,3,1,5,650000,2600.0"
"27,""Rua João Francisco de Moura, 111 "", Vila Campo Grande ,110,3,3,2,550000,5000.0"
"28,""Rua Serra de Botucatu, 993 "", Vila Gomes Cardim ,120,3,2,2,1100000,9166.666666666666"
"29,""Rua Andrade Neves, 37 "", Bela Aliança ,502,4,6,4,2985000,5946.215139442231"
30,Rua Japeacaba , Vila Albertina ,268,3,6,4,1700000,6343.2835820895525
31,Rua Senador Vergueiro , Santo Amaro ,355,4,7,4,3100000,8732.394366197183
33,Parque da Lapa , Parque da Lapa ,220,4,4,3,849000,3859.090909090909
"34,""Rua Domingos Menezes, 179 "", Vila Libanesa ,320,5,4,6,890000,2781.25"
35,Rua Manuel Monteiro , Cidade Domitila ,180,3,3,4,550000,3055.5555555555557
36,Rua Serra da Sentinela , Vila Nova Savoia ,325,4,6,3,1650000,5076.923076923077
37,Avenida Maria Estela , Jardim Maria Estela ,110,2,1,1,445000,4045.4545454545455
"38,""Rua Professor Ciro Formicola, 203 "", Parque São Rafael ,125,2,1,2,425000,3400.0"
"39,""Rua Elias Gannam, 53 "", Vila Bandeirantes ,120,2,3,2,500000,4166.666666666667"
"40,""Rua Zacarias de Gois, 431 "", Parque Colonial ,138,3,1,3,1060000,7681.159420289855"
41,Rua Gregório Paes de Almeida , Vila Madalena ,401,5,9,4,3890000,9700.74812967581
42,Avenida das Magnólias , Cidade Jardim ,420,4,4,4,2200000,5238.0952380952385
43,Rua Mata Machado , Vila Califórnia ,260,4,4,4,1250000,4807.692307692308
44,Rua Alfonso de Albuquerque , Jardim das Imbuias ,200,3,5,3,1250000,6250.0
"45,""Rua Vicente Góes e Aranha, 587 "", Vila Tramontano ,463,4,6,6,2200000,4751.619870410367"
"46,""Avenida Presidente Tancredo Neves, 668 "", Vila Nancy ,132,2,1,1,390000,2954.5454545454545"
"47,""Rua Antônio Assumpção, 225 "", Parada Inglesa ,154,2,4,4,650000,4220.779220779221"
48,Rua Lauro Luchesi , Jardim Leonor Mendes de Barros ,300,4,4,3,1600000,5333.333333333333
"49,""Rua Artur Montenegro, 9"",A ,250,2,2,2,370000,1480.0"
"51,""Rua Domingos de Braga, 7 "", Vila dos Remédios ,110,3,3,2,545000,4954.545454545455"
52,Rua Kansas , Brooklin Paulista ,180,3,3,3,1100000,6111.111111111111
"53,""Rua Comendador Armando Pereira, 309 "", Tremembé ,151,3,3,8,520000,3443.708609271523"
54,Rua Santo Adauto , Vila Minerva ,170,3,2,2,325000,1911.764705882353
55,Rua dos Maracujás , Vila Mazzei ,211,4,7,8,890000,4218.009478672986
"56,""Avenida Raimundo Pereira de Magalhães, 6000 "", Pirituba ,102,3,4,2,409000,4009.8039215686276"
57,Rua Nicolau Barreto , Vila Cordeiro ,177,3,5,2,1500000,8474.57627118644
58,Chácara Santo Antônio (Zona Sul) , Chácara Santo Antônio (Zona Sul) ,190,2,2,2,1100000,5789.473684210527
59,Jardim Guedala , Jardim Guedala ,650,4,6,4,5500000,8461.538461538461
"60,""Rua Tomé Souza, 182 "","" Santa Cruz dos Lázaros, Jacareí "",126,3,2,2,312000,2476.190476190476"
62,Vila Arriete , Vila Arriete ,200,4,3,2,775000,3875.0
64,Rua Peribebuí , Alto da Lapa ,440,4,6,7,2200000,5000.0
"65,""Avenida João XXIII, 925 "", Vila Formosa ,225,2,2,2,780000,3466.6666666666665"
66,Rua Taiaçupeba , Quinta da Paineira ,350,3,5,6,980000,2800.0
"67,""Rua Coronel Virgílio dos Santos, 271 "", Vila Jaguara ,220,3,3,2,750000,3409.090909090909"
"68,""Rua Áurea Graciliana Dias, 101 "","" Condomínio Residencial Monaco, São José dos Campos "",249,4,3,2,1290000,5180.722891566265"
"69,""Rua da Paz, 89 "", Alto da Boa Vista ,386,4,4,5,1680000,4352.331606217616"
"70,""Rua Major Alfredo Romão, 92 "", Vila Clarice ,99,3,2,2,650000,6565.656565656565"
71,Rua Bolívia , Jardim América ,663,4,7,6,14500000,21870.286576168928
72,Rua General Fonseca Teles , Jardim Paulista ,420,4,6,3,8700000,20714.285714285714
"73,""Rua Pataíba, 89 "", Tucuruvi ,211,3,3,3,1237000,5862.559241706161"
"74,""Rua Doutor Milton de Souza Meirelles, 364 "", Parque Continental ,180,3,4,4,950000,5277.777777777777"
"75,""Avenida Amador Bueno da Veiga, 3272 "", Penha de França ,150,4,1,5,510000,3400.0"
76,Rua Maria Tereza Farabulini Rodrigues , Parque Continental ,200,3,5,3,1500000,7500.0
77,Rua Doutor Franco da Rocha , Perdizes ,452,4,6,2,4240000,9380.530973451327
78,Rua Caetano Braga , Conjunto Residencial José Bonifácio ,129,3,2,2,490000,3798.4496124031007
79,Rua Francisco de Paula Brito , Planalto Paulista ,250,3,4,4,2190000,8760.0
80,Rua dos Comerciários , Cidade Vargas ,250,3,3,5,2180000,8720.0
81,Rua Francisco Correia Dutra , Jardim Maria Luiza ,152,2,3,2,398000,2618.4210526315787
82,Rua Joaquim de Almeida , Mirandópolis ,192,4,2,2,950000,4947.916666666667
83,Rua Elisa Rodrigues , Planalto Paulista ,184,4,3,4,1390000,7554.347826086957
84,Rua José Sebastião de Sá , Jardim do Carmo ,100,2,2,1,530000,5300.0
85,Rua Amandaba , Jardim Prudência ,253,4,4,2,1280000,5059.288537549407
"86,""Rua Cordisburgo, 251 "", Jardim Leonor ,850,4,8,6,6500000,7647.058823529412"
"88,""Rua Carlos Rath, 103 "", Alto de Pinheiros ,400,5,4,4,2900000,7250.0"
89,Alto de Pinheiros , Alto de Pinheiros ,358,4,4,4,3500000,9776.536312849163
90,Rua Luís Ramos Figueira , Vila Suzana ,140,3,4,2,775000,5535.714285714285
91,Rua dos Aliados , Alto da Lapa ,500,5,7,7,3500000,7000.0
92,Planalto Paulista , Planalto Paulista ,119,2,2,2,670000,5630.252100840336
93,Jardim Guedala , Jardim Guedala ,650,4,7,4,3500000,5384.615384615385
"94,""Rua Benedito Antonio de Campos, 221 "","" Residencial de Lorenzi, Boituva "",78,2,2,1,298000,3820.5128205128203"
95,Rua Doutor Nicolau Asprino Júnior , Vila Brasílio Machado ,250,3,3,3,1500000,6000.0
"96,""Rua José Barbosa, 186 "", Jardim das Vertentes ,84,3,3,2,470000,5595.238095238095"
97,Rua Iagari , Alto da Lapa ,243,3,5,3,2400000,9876.543209876543
"98,""Rua Júlio Rua Perez, 16 "", Campo Belo ,145,4,3,2,1350000,9310.344827586207"
"99,""Rua Marechal Barbacena, 1392 "", Vila Regente Feijó ,150,3,2,2,800000,5333.333333333333"
"100,""Rua Plínio Mota, 59 "", Vila Tolstoi ,240,3,3,7,890000,3708.3333333333335"
"101,""Rua Belarmino Cardoso de Andrade, 151 "", Terceira Divisão de Interlagos ,167,3,4,2,630000,3772.4550898203593"
102,Rua Camberra , Vila Formosa ,256,4,3,1,1063830,4155.5859375
103,Vila Moinho Velho , Vila Moinho Velho ,220,4,3,2,750000,3409.090909090909
104,Rua Marechal,do,360,4,5,4,1800000,5000.0
105,Jardim Guedala , Jardim Guedala ,354,4,6,4,2950000,8333.333333333334
106,Rua Pero Correia , Vila Mariana ,250,3,3,1,1350000,5400.0
107,Avenida Ouro Verde de Minas , Jardim Imperador (Zona Leste) ,186,3,3,2,750000,4032.2580645161293
"110,""Avenida Ibiúna, 736 "", Vila Aricanduva ,500,4,3,4,1200000,2400.0"
111,Brooklin Paulista , Brooklin Paulista ,400,5,6,4,2500000,6250.0
112,Sumaré , Sumaré ,627,3,6,6,4950000,7894.736842105263
113,Rua Coronel Octávio Azeredo , Vila Mazzei ,80,3,1,2,420000,5250.0
"114,""Rua Drosera, 120 "", Pirituba ,190,3,2,4,920000,4842.105263157895"
116,Rua Timbó , Mooca ,170,3,2,2,940000,5529.411764705882
118,Vila Gustavo , Vila Gustavo ,200,4,3,1,550000,2750.0
119,Rua José Clemente , Jardim Paulista ,724,4,6,3,8000000,11049.723756906078
"120,""Rua Araripe, 145 "", Vila Califórnia ,300,6,3,2,430000,1433.3333333333333"
"121,""Rua Lavras do Sul, 206 "", Vila Carolina ,120,4,3,2,650000,5416.666666666667"
122,Rua Marco Aurélio , Vila Romana ,160,3,4,2,940000,5875.0
123,Alameda dos Guainumbis , Planalto Paulista ,200,4,6,3,2014000,10070.0
"124,""Avenida Júlio Buono, 578 "", Vila Gustavo ,217,5,3,2,670000,3087.557603686636"
125,Rua Monsenhor Moura , Vila Leopoldina ,167,2,2,2,820000,4910.179640718563
126,Rua dos Tamanás , Vila Madalena ,440,4,5,4,3950000,8977.272727272728
127,Praça Doutor Carvalho Franco , Vila Mariana ,250,3,5,2,2450000,9800.0
128,Rua Maria Ramos , Vila São Paulo ,250,5,6,2,486000,1944.0
"129,""Rua Kansas, 1326 "", Brooklin Paulista ,70,2,4,2,800000,11428.57142857143"
130,Rua Engenheiro Dolabela , Jardim Bandeirantes (Zona Norte) ,455,4,5,3,680000,1494.5054945054944
"132,""Rua Gonçalo Pires, 304 "", Vila Morse ,125,3,3,1,610000,4880.0"
133,Rua Cautaros , Itaquera ,185,3,5,5,460000,2486.4864864864867
"134,""Avenida Avelino Paranho, 119 "", Vila Talarico ,250,5,3,5,850000,3400.0"
"135,""Rua Manoel João Pereira, 80 "", Vila Matilde ,131,3,2,2,540000,4122.137404580153"
"136,""Rua Getúlio Vargas Filho, 572 "", Cidade Vargas ,114,3,4,2,550000,4824.561403508772"
137,Rua Bernardo Vieira , Vila Laís ,104,1,1,1,270000,2596.153846153846
138,Rua Marechal Bina Machado , Jardim Marajoara ,360,4,5,4,1750000,4861.111111111111
"139,""Rua Doutor Augusto de Miranda, 1046 "", Vila Pompéia ,98,3,3,1,1050000,10714.285714285714"
140,Alameda dos Ciprestes , Chácara Santo Antônio (Zona Sul) ,351,4,4,4,3480000,9914.529914529914
141,Rua José Clemente , Jardim Paulista ,700,4,5,4,7900000,11285.714285714286
142,Rua Laplace , Brooklin Paulista ,300,3,5,4,2400000,8000.0
143,Jardim Trussardi , Jardim Trussardi ,125,3,4,3,800000,6400.0
"144,""Rua Aquiramun, 94 "", Alto de Pinheiros ,450,5,6,5,5500000,12222.222222222223"
145,Vila Madalena , Vila Madalena ,534,5,6,5,4500000,8426.966292134832
146,Jardim dos Estados , Jardim dos Estados ,340,4,6,3,3000000,8823.529411764706
147,Rua Rússia , Jardim Europa ,200,3,3,2,2700000,13500.0
148,Rua Oscar Pinheiro Coelho , Caxingui ,110,2,1,3,620000,5636.363636363636
"149,""Rua Tagipuru, 168 "", Barra Funda ,170,4,3,2,1600000,9411.764705882353"
150,Rua Américo Brasiliense , Alto da Boa Vista ,340,4,6,7,2200000,6470.588235294118
151,Rua Catão , Vila Romana ,235,3,4,3,1280000,5446.808510638298
152,Vila Santos , Vila Santos ,114,3,1,3,510000,4473.684210526316
"153,""Rua Conchilia, 383 "", Vila Albertina ,300,4,6,4,1600000,5333.333333333333"
"154,""Rua Antônio Barbosa de Oliveira, 55 "", Vila João Batista ,571,3,2,3,987000,1728.5464098073555"
"155,""Rua João Pereira Santos, 144 "", Jardim Nova Germania ,57,3,1,5,350000,6140.350877192983"
156,Rua Monte Cardoso , Vila Antonieta ,150,3,2,2,600000,4000.0
157,Jardim Europa , Jardim Europa ,693,4,5,6,16000000,23088.02308802309
"159,""Rua Prisciliana Duarte, 250 "", Jardim da Saúde ,257,3,4,4,1600000,6225.68093385214"
160,Rua Agostinho da Mota , Chácara Santo Antônio (Zona Leste) ,140,3,4,4,900000,6428.571428571428
161,Butantã , Butantã ,299,4,5,3,2140000,7157.190635451505
162,Rua Professor João Marinho , Vila Mariana ,170,3,4,2,1490000,8764.70588235294
164,Rua Pereira Caldas , Jardim da Glória ,200,3,2,2,1000000,5000.0
165,Rua Princesa Leopoldina , Alto da Lapa ,100,2,2,1,940000,9400.0
166,Jardim Petrópolis , Jardim Petrópolis ,243,5,4,2,1390000,5720.164609053498
167,Vila Mariana , Vila Mariana ,228,4,5,3,2200000,9649.122807017544
"168,""Avenida Moaci, 1445 "", Planalto Paulista ,420,5,7,6,1900000,4523.809523809524"
169,Vila Aparecida , Vila Aparecida ,168,3,1,2,621000,3696.4285714285716
170,Siciliano , Siciliano ,300,3,3,3,1300000,4333.333333333333
"171,""Estrada Velha da Penha, 120 "", Tatuapé ,110,2,1,2,450000,4090.909090909091"
172,Rua Bernardo Alvarenga , Caxingui ,350,3,4,2,1969000,5625.714285714285
174,Rua Judith , Vila Madalena ,146,3,2,2,1550000,10616.438356164384
175,Rua Catão , Vila Romana ,130,2,2,1,688000,5292.307692307692
176,Alto da Lapa , Alto da Lapa ,170,4,5,6,1700000,10000.0
177,Rua Manuel Francisco Alves , Parque Casa de Pedra ,232,8,3,1,500000,2155.1724137931033
178,Rua Luís Dib Zogaib , Morumbi ,443,4,6,8,1800000,4063.2054176072234
179,Rua Pamplona , Jardim Paulista ,156,4,4,2,2340000,15000.0
"180,""Rua Alexandre Von Humboldt, 1 "", Praia Azul ,250,4,4,3,580000,2320.0"
"181,""Rua Boiçununga, 273 "", São João Clímaco ,200,3,3,2,570000,2850.0"
183,Rua Doutor Valentino Sola , Jardim da Glória ,231,4,5,6,1650000,7142.857142857143
184,Jardim Guedala , Jardim Guedala ,420,3,6,5,3500000,8333.333333333334
186,Rua Serenata , Vila Prudente ,140,3,3,2,490000,3500.0
187,Rua Eduardo da Silva Magalhães , Parque Continental ,350,5,7,7,2500000,7142.857142857143
"188,""Rua João Pedro, 165 "", Capela do Socorro ,120,3,3,3,500000,4166.666666666667"
190,Planalto Paulista , Planalto Paulista ,361,4,6,5,1490000,4127.423822714682
192,Rua Quirino Pucca , Vila Romana ,65,1,1,2,480000,7384.615384615385
193,Rua Guira,Guainumbi ,180,4,2,1,300000,1666.6666666666667
194,Rua Teviot , Vila Nova Conceição ,363,4,6,4,5100000,14049.586776859504
"196,""Rua Coronel Melo de Oliveira, 704 "", Perdizes ,184,3,3,2,1272000,6913.04347826087"
197,Jardim da Glória , Jardim da Glória ,230,3,3,4,1500000,6521.739130434783
199,Vila Ida , Vila Ida ,437,3,5,5,1850000,4233.409610983982
"200,""Rua Amélia da Silveira, 44 "", Jardim Vivan ,176,3,4,2,620000,3522.7272727272725"
"201,""Rua Alberto Lohnhoff, 60 "", Lauzane Paulista ,88,3,3,1,455000,5170.454545454545"
202,Rua Itália , Jardim Europa ,713,5,7,6,26600000,37307.152875175314
203,Rua Constantino de Sousa , Campo Belo ,266,6,6,6,1750000,6578.9473684210525
"204,""Rua José Ubaldo Lomônaco, 173 "", Jardim da Glória ,430,5,6,4,3150000,7325.581395348837"
206,Rua Faustino Augusto César , Vila Marari ,180,3,3,3,850000,4722.222222222223
208,Cidade Jardim , Cidade Jardim ,600,4,6,4,2200000,3666.6666666666665
209,Rua dos Macunis , Vila Madalena ,180,4,4,4,2400000,13333.333333333334
"210,""Rua Vergueiro, 5114 "", Cursino ,113,3,2,2,570000,5044.2477876106195"
211,Cidade Dutra , Cidade Dutra ,497,3,4,8,1300000,2615.6941649899395
"212,""Rua Joaquim Lima de Moraes, 5 "", Santo Amaro ,224,3,4,2,1500000,6696.428571428572"
"213,""Rua Jorge Fares, 80 "", Jardim São Luís ,127,3,1,2,540000,4251.968503937008"
214,Água Fria , Água Fria ,190,3,4,4,750000,3947.3684210526317
215,Parque Boturussu , Parque Boturussu ,60,2,5,1,251000,4183.333333333333
216,Belenzinho , Belenzinho ,124,4,3,1,595000,4798.387096774193
"217,""Rua Antônio Sales de Camargo, 86 "", Bosque da Saúde ,118,4,5,3,960000,8135.593220338983"
218,Rua Croata , Vila Ipojuca ,358,3,4,4,2160000,6033.519553072626
220,Rua Emílio Pedutti , Morumbi ,546,4,7,6,3290000,6025.641025641025
"221,""Rua Açaré, 63 "", Alto de Pinheiros ,252,3,5,4,2900000,11507.936507936507"
222,Vila Ida , Vila Ida ,293,3,5,4,3650000,12457.337883959044
223,Jardim Panorama , Jardim Panorama ,639,4,8,4,3600000,5633.802816901409
224,Jardim Ampliação , Jardim Ampliação ,160,3,4,3,860000,5375.0
"225,""Rua Cristiano Viana, 961 "", Cerqueira César ,155,3,1,1,1300000,8387.09677419355"
226,Lauzane Paulista , Lauzane Paulista ,80,2,1,2,374500,4681.25
228,Rua Aguaçaí , Pari ,180,3,4,1,750000,4166.666666666667
"229,""Rua Muller Carioba, 153 "", Jardim da Saúde ,230,3,2,3,660000,2869.5652173913045"
230,Rua Olímpia Lemes da Silva , Jardim das Vertentes ,260,3,3,2,940000,3615.3846153846152
231,Vila Sabrina , Vila Sabrina ,500,8,5,1,990000,1980.0
232,Rua Frederico Von Martius , Ipiranga ,300,3,5,2,1350000,4500.0
